No,Year,Country_ID,Bank_ID,IB,DTD_PB,DTC_PB,ESGS,ESGcom,ESGC,E,S,G,ETA,NPL,CTI,TDTA,REVDIV,LOANGR,TA,IB,EG,INF,HHII,COVID,GOV,MIP,REG,LNTA
1,2016,1,1,1,"10,420881","13,343928","10,42","10,42",100,"21,15","4,08","23,33","11,386605","3,68","26,32","75,895594","8,580887","17,85","4764000000000,00%",1,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","24,58701"
8,2016,1,2,0,"12,057114","14,390203","61,72","61,72",100,"60,25","63,31","76,72","10,202087","2,8","32,88","61,669221","8,620834","7,86","7033000000000,00%",0,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","24,97647"
15,2016,1,3,0,"35,223664","43,347386","56,67","56,67",100,"70,81","60,49","53,39","15,026795","3,06","20,67","61,330682","10,15237",,"6099000000000,00%",0,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","24,83395"
22,2016,1,4,0,"27,396457","32,671026","34,82","34,82",100,"63,68","47,36","22,61","9,9070098","8,24","32,84","73,572781","7,954659","7,12","12200000000000,00%",0,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","25,52719"
29,2016,1,5,1,"18,592285","22,642981",,,,,,,"8,002391","3,98","45,67","85,01779","9,30941","-0,04","3330000000000,00%",1,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","24,22879"
36,2016,1,6,0,,,,,,,,,"9,3007117","9,55","54,74","74,754649","9,636024","14,94","553200000000,00%",0,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","22,43389"
43,2016,1,7,0,"79,365234","82,16469",,,,,,,"16,974942","5,6","37,25","73,198878","7,086517","12,76","737800000000,00%",0,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","22,72182"
50,2016,1,8,0,,,,,,,,,"13,544986","6,87","35,85","69,084953","9,543777","8,19","1745000000000,00%",0,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","23,58252"
64,2016,1,10,1,,,,,,,,,"12,569993","3,02","48,94","85,243976","6,889023","11,95","435700000000,00%",1,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","22,19508"
71,2016,1,11,1,"5,042406","6,890673",,,,,,,"14,479177","6,03","50,64","66,131273","7,715439","5,06","913300000000,00%",1,"5,5614908","1,6174881","7,683712",0,"0,97407607","3,534691","0,95991838","22,93511"
78,2016,2,12,0,"60,294594","63,905107","57,66","57,66",100,"63,61","87,01","25,99","10,386909","4,78","40,62","81,182755","9,990776","-6,1","7507000000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","25,04165"
85,2016,2,13,0,"31,642431","39,519095","63,28","63,28",100,"73,21","65,91","63,31","12,880957","3,54","47,69","78,426923","8,378746","3,87","8217000000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","25,13206"
92,2016,2,14,0,"40,409961","44,503251",,,,,,,"13,268744","2,16",51,"78,104327","9,612854","-3,16","2653000000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","24,00146"
99,2016,2,15,0,"35,175391","39,041868","45,66","45,66",100,"35,26","65,03","31,58","11,085882","2,4","49,64","75,546786","10,50983","11,15","5256000000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","24,68518"
106,2016,2,16,0,"54,617836","59,258744","59,47","59,47",100,"80,96","87,53","19,86","12,447323","3,84","41,63","68,754691","13,48343","5,46","7935000000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","25,09717"
113,2016,2,17,0,"76,979966","79,218901",,,,,,,"8,9773759","6,18","58,24","65,63956","11,02236","3,81","830200000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","22,83978"
120,2016,2,18,0,"30,542885","38,042121",,,,,,,"9,5761811","1,96","37,34","79,712106","6,97541","5,99","592100000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","22,50174"
127,2016,2,19,0,"16,000999","19,108106",,,,,,,"17,331548","5,62","47,55","50,596725","16,47243","-0,39","652400000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","22,59882"
134,2016,2,20,0,"43,098936","48,260794","62,9","62,9",100,"57,38","69,23","69,84","11,547819","2,27","40,11","59,079079","13,93705","-5,59","757100000000,00%",0,"3,4351577","0,1881497","7,655651",0,"-0,23848964","3,589265","0,05286869","22,74758"
